,Review,Sentimen,Review_norm
152,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif,tadinya mau beli diofflinestore tapi mahal banget  pas cek dionline store nya cuma  karena dapat potongan sama lagi flashsale langsung beli
153,makasiihh,Positif,terima kasih
154,makasih,Netral,terima kasih
155,makasiihh tp tumben ga ada gift nya,Netral,terima kasih tapi tumben enggak ada gift nya
156,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terima kasih
157,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral,setelah semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian atau memang enggak cocok
158,bagus,Positif,bagus
159,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif,pengirimannya cukup cepat dan barang yang dikirimkan sesuai pesanan expired datenya dan
160,cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif,cocok dikulit saya enggak kering atau tertarik pengiriman cepat mantap
161,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang
162,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal
163,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif,bacanya review nya bagus mudahan juga cocok terima kasih bonusnya pas banget pas lagi butuh
164,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya sudah mendingan dan kempes
165,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral,sebenarnya bagus tapi di aku jatuhnya bikin bibir agak kering walaupun sebelum pakai lipstick sudah pakai lipbalm warnanya pigmented banget merah queennya bagus banget
166,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif,exp date masih lama pengirimannya juga cepat dapat diskonnya lumayan lagi thanks somethinc
167,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif,semoga cocok di kulitku yang sensitif ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout
168,belum dicoba smg cocok,Netral,belum dicoba semoga cocok
169,paket aman semoga cocok,Positif,paket aman semoga cocok
170,masalah kulitku pori besar,Netral,masalah kulitku pori besar
171,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat
172,kiriman cepat packing bagus,Positif,kiriman cepat packing bagus
173,sesuai dengan deskripsi,Positif,sesuai dengan deskripsi
174,ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif,ingredients nya bikin penasaran jadi pengin mencoba sejauh ini selalu repurchase produk avo dan selalu cocok aaaa
175,packing aman banget semoga cocok,Positif,packing aman banget semoga cocok
176,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dengan azarine thanks azarine
177,repurchased nda bikin kusam affordable,Netral,repurchased indak bikin kusam affordable
178,baguss semoga cocok,Positif,bagus semoga cocok
179,baru mau dicoba semoga cocok,Positif,baru mau dicoba semoga cocok
180,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif,produk orisinal dan aman kakak adminnya juga ramah banget bakal repurchase lagi deh kayaknya
181,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral,pengiriman dan pengemasan cepat banget aman produk sesuai sudah pernah coba dan lumayan bikin jerawat cepat mateng thankyou
182,top,Positif,top
183,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
184,exp,Positif,exp
185,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba
